blockNumber,timestamp,transactionHash,from,to,value,address,tokenName,decimals,,tokenPrice
19148892,1706976179,0xda9fd048e210bdf01c3e31a6f08aeda8b71e2e237a14e49b2c2ac8c395b6492f,0x30709180d8747e5bc0bd6e1bff51baedab31328d,0x3a23f943181408eac424116af7b7790c94cb97a5,3500000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19148936,1706976719,0xaa8e080f5fdba5567652f5e14dd7aac4ac83e486b698c0c7b7e672c351a1f6a4,0xda5948da42322f73c334adc2af7903fd078207c6,0x3a23f943181408eac424116af7b7790c94cb97a5,6001000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19148946,1706976839,0xdb1f781388ec943c20756f8d4f7971aed4ab81343b14db619bb3feaa050b8627,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x3a23f943181408eac424116af7b7790c94cb97a5,29865718,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19149037,1706977943,0x8f9118ff9a8d8b2862213b5f3a1e16eba8aedef08aa7adbabd5e881d69ec4830,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,14410169639271153872,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.7893
19149071,1706978351,0x25332e49c87b42e3ed2737813a5c8e6b5244156be94c9b5b6ae56dc186b8aabd,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,77801911279820509263,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.789583
19149109,1706978807,0x29b831708c874344c3d733cbf9c502e8b1214a982378f729658492f5ce81b012,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x3a23f943181408eac424116af7b7790c94cb97a5,318168462,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999639
19149116,1706978891,0xcebed9a6d0ec45f01f6bcd48945ae722073d20f3770364e8fbdf01b3c4f97477,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,3535330269120000000000,0x408e41876cCCDC0F92210600ef50372656052a38,Republic Token,18,,0.056523
19149116,1706978891,0xcebed9a6d0ec45f01f6bcd48945ae722073d20f3770364e8fbdf01b3c4f97477,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3a23f943181408eac424116af7b7790c94cb97a5,195299238,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999488
19149182,1706979695,0xe970a4f7f0c815b3004ee7061bf6cf26eb80779b0c9e707528ebd3a643e42f47,0xa9853c33ac9b391bbc959d2d2822e624f0085ecd,0x3a23f943181408eac424116af7b7790c94cb97a5,3500000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.789152
19149187,1706979755,0x79bdc13641bd6783960de459419df2262bffb6aae376f570b3bb479f319f7a70,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,129701494395950096889,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.789152
19149198,1706979887,0xb47898fa5b796920d902df847f55aa001ce1b9364e131bd44ac21c6e884d2a0a,0x9ed8b4e877d597bf464f88cc1afbf19fbf5aa1ba,0x3a23f943181408eac424116af7b7790c94cb97a5,2410918125651789058,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,18,,2301.26
19149224,1706980199,0x76c1fbb5b60fcb01434f9595c13961edd0a0f6e677b72c96e497af7767073de7,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,52210887,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1.001
19149224,1706980199,0x76c1fbb5b60fcb01434f9595c13961edd0a0f6e677b72c96e497af7767073de7,0x07a6e955ba4345bae83ac2a6faa771fddd8a2011,0x3a23f943181408eac424116af7b7790c94cb97a5,65654538500328019457,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.789615
19149265,1706980703,0x120a488a55b893ed5e5966d3be4ddfe6406b4701f2bc8373e25f7fd21488dd18,0x785bc2484a15dc9a8b644024fc142e8bca1289ae,0x3a23f943181408eac424116af7b7790c94cb97a5,5000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,18,,2300.38
19149269,1706980751,0xb153fae4f2caee4d6504751a078d20042fa0cd853e22b9604137a9a94a08d222,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3a23f943181408eac424116af7b7790c94cb97a5,2400001915505074068,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2306.51
